degree,learning_rate,algorithm,mean_final_loss,std,min,max,seeds
2,0.001,GD,0.410352,0.001910,0.407159,0.413208,10
2,0.001,SGD,0.402046,0.000332,0.401181,0.402316,10
2,0.01,GD,0.398247,0.000000,0.398247,0.398247,10
2,0.01,SGD,0.426624,0.009983,0.401875,0.438894,10
2,0.1,GD,0.398247,0.000000,0.398247,0.398247,10
2,0.1,SGD,0.923336,0.102002,0.755436,1.134023,10
3,0.001,GD,0.427619,0.019671,0.390990,0.461139,10
3,0.001,SGD,0.015628,0.000043,0.015524,0.015677,10
3,0.01,GD,0.019045,0.000181,0.018704,0.019349,10
3,0.01,SGD,0.018076,0.000833,0.016801,0.019430,10
3,0.1,GD,0.015294,0.000000,0.015294,0.015294,10
3,0.1,SGD,2.022783,0.248321,1.608953,2.409123,10
4,0.001,GD,0.423275,0.020745,0.392961,0.460464,10
4,0.001,SGD,0.016056,0.000138,0.015788,0.016212,10
4,0.01,GD,0.018979,0.000172,0.018796,0.019312,10
4,0.01,SGD,0.029124,0.004428,0.022931,0.038981,10
4,0.1,GD,3.651466,0.015806,3.619055,3.672572,10
4,0.1,SGD,10.726211,1.355390,7.539032,12.333475,10
