x	y
0.000000	8.967825
0.101010	9.857852
0.202020	10.445818
0.303030	12.009777
0.404040	12.903332
0.505051	13.426900
0.606061	13.607230
0.707071	14.932659
0.808081	16.097455
0.909091	16.004125
1.010101	16.575307
1.111111	18.166485
1.212121	17.959969
1.313131	18.417793
1.414141	18.383358
1.515152	19.181096
1.616162	19.027416
1.717172	19.323459
1.818182	19.305802
1.919192	20.681719
2.020202	20.215791
2.121212	19.727822
2.222222	20.911110
2.323232	21.112600
2.424242	21.742693
2.525253	19.996782
2.626263	18.992791
2.727273	19.129892
2.828283	20.012469
2.929293	17.734045
3.030303	17.875424
3.131313	19.757134
3.232323	18.462690
3.333333	18.955733
3.434343	15.889072
3.535354	16.801215
3.636364	16.319899
3.737374	17.054389
3.838384	15.940966
3.939394	14.328406
4.040404	14.403736
4.141414	13.280735
4.242424	13.013889
4.343434	11.844183
4.444444	11.629492
4.545455	12.511536
4.646465	11.719574
4.747475	11.504002
4.848485	10.829781
4.949495	9.731536
5.050505	10.568653
5.151515	7.473301
5.252525	8.392174
5.353535	7.709295
5.454545	7.181239
5.555556	7.854617
5.656566	7.465813
5.757576	6.532186
5.858586	4.910476
5.959596	4.788827
6.060606	4.813050
6.161616	4.570050
6.262626	3.692856
6.363636	3.272118
6.464646	2.600293
6.565657	3.100314
6.666667	0.874623
6.767677	1.629181
6.868687	2.642670
6.969697	0.644618
7.070707	3.298127
7.171717	0.715007
7.272727	0.198395
7.373737	0.003229
7.474747	-0.210109
7.575758	0.285439
7.676768	1.106598
7.777778	0.088842
7.878788	0.148728
7.979798	-0.066170
8.080808	0.662404
8.181818	0.843732
8.282828	0.560403
8.383838	1.622870
8.484848	0.953150
8.585859	2.314764
8.686869	1.393691
8.787879	2.374137
8.888889	3.392699
8.989899	3.472464
9.090909	4.520791
9.191919	4.855732
9.292929	6.128830
9.393939	5.857858
9.494949	7.805221
9.595960	8.071723
9.696970	6.324093
9.797980	10.833610
9.898990	10.387067
10.000000	12.573571
